"ID1" "ID2" "d12"
4326 4961 47.09
4326 5001 50.85
4326 5003 52.67
4326 5004 48.34
4326 5005 49.11
4326 5006 51.22
4326 5007 49.4
4326 74 727.95
4407 4524 72.9
4407 4537 285.96
4407 4538 285.7
4407 4725 40.66
4407 4729 43.03
4407 4739 80.46
4407 4786 137.48
4407 4789 285.92
4407 4888 129.79
4407 4952 41.72
4407 4961 42.7
4407 5001 130.07
4407 5003 132.34
4407 5004 127.73
4407 5005 128.43
4407 5006 130.59
4407 5007 128.84
4407 74 671.18
4407 142 3933.44
4524 4537 214.41
4524 4538 214.15
4524 4725 85.23
4524 4729 86.93
4524 4739 70.68
4524 4786 120.44
4524 4789 214.4
4524 4888 112.32
4524 4952 41.14
4524 4961 39.4
4524 5001 112.22
4524 5003 111.56
4524 5004 109.34
4524 5005 110.35
4524 5006 111.93
4524 5007 110.08
4524 74 743.47
4524 142 3995.96
4537 4538 0.27
4537 4725 297.37
4537 4729 298.69
4537 4739 236.07
4537 4786 227.34
4537 4789 0.61
4537 4888 225.93
4537 4952 246.77
4537 4961 245.35
4537 5001 225.29
4537 5003 220.26
4537 5004 224.25
4537 5005 224.81
4537 5006 223.9
4537 5007 223.67
4537 74 957.04
4538 4725 297.11
4538 4729 298.43
4538 4739 235.84
4538 4786 227.14
4538 4789 0.71
4538 4888 225.73
4538 4952 246.51
4538 4961 245.09
4538 5001 225.09
4538 5003 220.06
4538 5004 224.04
4538 5005 224.6
4538 5006 223.7
4538 5007 223.46
4538 74 956.78
4725 4729 2.43
4725 4739 116.81
4725 4786 174.91
4725 4789 297.42
4725 4888 166.93
4725 4952 71.71
4725 4961 71.86
4725 5001 167.14
4725 5003 168.87
4725 5004 164.63
4725 5005 165.41
4725 5006 167.51
4725 5007 165.69
4725 74 664.83
4725 142 3910.79
4729 4739 119.21
4729 4786 177.32
4729 4789 298.74
4729 4888 169.34
4729 4952 74.03
4729 4961 74.17
4729 5001 169.55
4729 5003 171.26
4729 5004 167.03
4729 5005 167.81
4729 5006 169.91
4729 5007 168.09
4729 74 664.01
4729 142 3909.04
4739 4786 58.22
4739 4789 235.89
4739 4888 50.16
4739 4952 46.95
4739 4961 47.47
4739 5001 50.35
4739 5003 52.13
4739 5004 47.82
4739 5005 48.61
4739 5006 50.71
4739 5007 48.89
4739 74 728.64
4786 4789 227.02
4786 4888 8.28
4786 4952 104.92
4786 4961 105.28
4786 5001 8.27
4786 5003 9.88
4786 5004 11.13
4786 5005 10.16
4786 5006 8.53
4786 5007 10.36
4786 74 761.53
4789 4888 225.63
4789 4952 246.7
4789 4961 245.28
4789 5001 224.99
4789 5003 219.95
4789 5004 223.95
4789 5005 224.51
4789 5006 223.6
4789 5007 223.36
4789 74 956.99
4888 4952 96.74
4888 4961 97.09
4888 5001 0.65
4888 5003 5.79
4888 5004 3.06
4888 5005 2.03
4888 5006 2.05
4888 5007 2.75
4888 74 758.2
4952 4961 1.73
4952 5001 96.88
4952 5003 98.1
4952 5004 94.22
4952 5005 95.07
4952 5006 97.1
4952 5007 95.23
4952 74 710.45
4952 142 3975.1
4961 5001 97.22
4961 5003 98.35
4961 5004 94.54
4961 5005 95.4
4961 5006 97.41
4961 5007 95.54
4961 74 711.83
4961 142 3975.98
5001 5003 5.13
5001 5004 2.88
5001 5005 1.88
5001 5006 1.4
5001 5007 2.35
5001 74 758.81
5003 5004 5.42
5003 5005 5.35
5003 5006 3.73
5003 5007 4.34
5003 74 763.61
5004 5005 1.03
5004 5006 2.88
5004 5007 1.15
5004 74 758.29
5005 5006 2.19
5005 5007 1.15
5005 74 758.27
5006 5007 1.89
5006 74 760.09
5007 74 759.3
1149 1178 53.66
1149 1575 110.87
1149 1180 53.74
1149 1573 111.95
1149 2865 3211.88
1149 2866 3209.96
1149 2885 3262.68
1149 2856 3263.9
1149 2857 3266.34
1149 2858 3264.47
1149 13 2251.68
1149 229 2131.33
1149 142 2365.65
1149 194 2118.9
1149 227 2131.46
1149 228 2130.54
1149 1826 424.37
1149 2145 813.76
1178 1575 130.24
1178 1180 2.04
1178 1573 131.41
1178 2865 3232.72
1178 2866 3230.81
1178 2885 3283.78
1178 2856 3285
1178 2857 3287.48
1178 2858 3285.62
1178 13 2221.37
1178 229 2103.86
1178 142 2335.11
1178 194 2090.41
1178 227 2103.99
1178 228 2103.11
1178 1826 395.13
1178 2145 786.04
1575 1180 131.99
1575 1573 1.17
1575 2865 3307.35
1575 2866 3305.41
1575 2885 3357.83
