PlcIndex	befundart	epoche	abschnitt	kultur	Easting	Northing
17629	Siedlung	undat.	NA	NA	4500706,498	5733431,679
17630	Siedlung	undat.	NA	NA	4500705,557	5733433,117
17631	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4500677,661	5733337,499
17632	Siedlung	undat.	NA	NA	4500684,081	5733335,955
17633	Siedlung	undat.	NA	NA	4500666,298	5733329,894
17634	unklar	undat.	NA	NA	4500664,974	5733343,304
17635	Siedlung	undat.	NA	NA	4500691,054	5733343,445
17637	Siedlung	undat.	NA	NA	4500670,615	5733423,103
17638	Siedlung	undat.	NA	NA	4500667,537	5733425,454
17639	Siedlung	undat.	NA	NA	4500668,306	5733426,793
17640	unklar	undat.	NA	NA	4500668,8	5733424,658
17641	Siedlung	undat.	NA	NA	4500684,256	5733333,426
17642	Siedlung	undat.	NA	NA	4500665,517	5733425,996
17643	Siedlung	undat.	NA	NA	4500664,53	5733420,824
17644	unklar	undat.	NA	NA	4500675,944	5733313,302
17645	Siedlung	undat.	NA	NA	4500656,965	5733431,302
17646	Siedlung	undat.	NA	NA	4500658,465	5733432,121
17647	Siedlung	undat.	NA	NA	4500657,082	5733433,414
17648	Siedlung	undat.	NA	NA	4500698,106	5733454,803
17649	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500697,126	5733453,383
17650	Siedlung	undat.	NA	NA	4500694,561	5733453,872
17651	Siedlung	undat.	NA	NA	4500693,365	5733454,185
17653	Siedlung	undat.	NA	NA	4500692,857	5733455,903
17654	Siedlung	undat.	NA	NA	4500691,004	5733455,614
17655	Siedlung	undat.	NA	NA	4500761,437	5733331,225
17656	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500752,215	5733337,572
17657	Siedlung	undat.	NA	NA	4500757,993	5733329,324
17658	Siedlung	undat.	NA	NA	4500694,717	5733452,408
17662	Siedlung	undat.	NA	NA	4500708,03	5733427,924
17663	Siedlung	undat.	NA	NA	4500706,995	5733425,899
17664	Siedlung	undat.	NA	NA	4500707,374	5733422,684
17665	Siedlung	undat.	NA	NA	4500697,32	5733414,217
17666	Siedlung	undat.	NA	NA	4500706,973	5733423,484
17667	Siedlung	undat.	NA	NA	4500707,505	5733424,618
17668	Siedlung	undat.	NA	NA	4500708,18	5733425,022
17670	Siedlung	undat.	NA	NA	4500710,402	5733425,257
17671	Siedlung	undat.	NA	NA	4500677,692	5733395,222
17672	Siedlung	undat.	NA	NA	4500669,359	5733403,054
17673	Siedlung	undat.	NA	NA	4500669,851	5733406,541
17674	Siedlung	undat.	NA	NA	4500661,217	5733389,953
17675	Siedlung	undat.	NA	NA	4500661,459	5733397,964
17676	unklar	undat.	NA	NA	4500660,175	5733404,552
17677	Siedlung	undat.	NA	NA	4500658,267	5733405,013
17678	Siedlung	undat.	NA	NA	4500664,208	5733405,331
17681	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500644,094	5733327,746
17682	Siedlung	undat.	NA	NA	4500694,172	5733460,133
17683	Siedlung	undat.	NA	NA	4500764,818	5733324,253
17684	Siedlung	undat.	NA	NA	4500767,271	5733323,944
17686	Siedlung	undat.	NA	NA	4500768,241	5733324,053
17702	Siedlung	undat.	NA	NA	4500826,796	5733361,558
17703	Siedlung	undat.	NA	NA	4500826,41	5733362,647
17694	Siedlung	undat.	NA	NA	4500606,526	5733311,315
17695	Siedlung	undat.	NA	NA	4500577,413	5733333,654
17696	Siedlung	undat.	NA	NA	4500700,405	5733307,408
17697	Siedlung	undat.	NA	NA	4500695,85	5733437,783
17700	Siedlung	undat.	NA	NA	4500830,27	5733361,548
17701	Siedlung	undat.	NA	NA	4500830,687	5733359,023
17704	Siedlung	undat.	NA	NA	4500662,818	5733302,729
17705	Siedlung	undat.	NA	NA	4500833,096	5733358,859
17706	Siedlung	undat.	NA	NA	4500831,155	5733360,443
17707	Siedlung	undat.	NA	NA	4500827,278	5733365,735
17708	Siedlung	undat.	NA	NA	4500826,13	5733367,513
17709	Siedlung	undat.	NA	NA	4500571,657	5733375,254
17710	Siedlung	undat.	NA	NA	4500715,245	5733461,006
17711	unklar	undat.	NA	NA	4500716,958	5733460,421
17713	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500781,383	5733337,8
17721	Siedlung	undat.	NA	NA	4500638,64	5733259,695
17722	Siedlung	undat.	NA	NA	4500631,555	5733271,024
17723	Siedlung	undat.	NA	NA	4500632,599	5733270,896
17727	Siedlung	undat.	NA	NA	4500672,458	5733300,263
17728	Siedlung	undat.	NA	NA	4500677,889	5733295,892
17729	Siedlung	undat.	NA	NA	4500730,526	5733341,522
17730	Siedlung	undat.	NA	NA	4500731,631	5733337,365
17731	Siedlung	undat.	NA	NA	4500684,996	5733337,716
17732	Siedlung	undat.	NA	NA	4500644,227	5733341,718
17733	Siedlung	undat.	NA	NA	4500683,102	5733333,035
17735	Siedlung	undat.	NA	NA	4500641,544	5733321,449
17736	unklar	Neolithikum	spaet	Schnurkeramik	4500678,516	5733383,932
17739	Siedlung	undat.	NA	NA	4500711,748	5733432,741
17740	Siedlung	undat.	NA	NA	4500710,79	5733431,234
17741	Siedlung	undat.	NA	NA	4500711,681	5733427,803
17745	Siedlung	undat.	NA	NA	4500709,143	5733431,787
17753	Siedlung	undat.	NA	NA	4500706,49	5733424,977
17754	Siedlung	undat.	NA	NA	4500706,799	5733429,307
17752	Siedlung	undat.	NA	NA	4500703,432	5733423,959
17755	Siedlung	undat.	NA	NA	4500704,735	5733426,096
17756	Siedlung	undat.	NA	NA	4500704,314	5733425,318
17757	Siedlung	undat.	NA	NA	4500708,62	5733428,362
17758	Siedlung	undat.	NA	NA	4500707,885	5733429,792
17759	Siedlung	undat.	NA	NA	4500707,436	5733428,695
17760	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500706,512	5733427,047
17761	Siedlung	undat.	NA	NA	4500598,425	5733344,219
17762	unklar	undat.	NA	NA	4500598,672	5733341,965
17763	unklar	undat.	NA	NA	4500600,543	5733345,854
17765	Siedlung	undat.	NA	NA	4500592,101	5733346,82
17766	Siedlung	undat.	NA	NA	4500600,26	5733347,142
17767	unklar	undat.	NA	NA	4500596,591	5733345,283
17768	Siedlung	undat.	NA	NA	4500593,41	5733335,686
17771	Siedlung	undat.	NA	NA	4500573,494	5733378,009
17773	Siedlung	undat.	NA	NA	4500613,642	5733370,255
17776	Siedlung	undat.	NA	NA	4500612,248	5733372,873
17781	Siedlung	undat.	NA	NA	4500672,901	5733381,928
17783	Siedlung	undat.	NA	NA	4500607,094	5733380,003
17784	Siedlung	undat.	NA	NA	4500773,687	5733329,37
17785	Siedlung	undat.	NA	NA	4500774,053	5733327,775
17786	Siedlung	Neolithikum	mittel	Kugelamphorenkultur	4500681,378	5733339,414
17792	Siedlung	undat.	NA	NA	4500769,296	5733329,936
17793	Siedlung	undat.	NA	NA	4500772,555	5733331,161
17794	Siedlung	undat.	NA	NA	4500653,275	5733403,186
17795	Siedlung	undat.	NA	NA	4500653,566	5733402,463
17796	Siedlung	undat.	NA	NA	4500651,746	5733401,958
17797	Siedlung	undat.	NA	NA	4500653,146	5733403,829
17798	Siedlung	undat.	NA	NA	4500654,631	5733403,77
17799	Siedlung	undat.	NA	NA	4500655,452	5733402,504
17825	Siedlung	undat.	NA	NA	4500791,122	5733383,973
17801	Siedlung	undat.	NA	NA	4500654,548	5733404,215
17802	unklar	undat.	NA	NA	4500656,877	5733402,092
17803	Siedlung	undat.	NA	NA	4500655,805	5733406,542
17804	Siedlung	undat.	NA	NA	4500806,021	5733350,183
17808	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500809,448	5733373,835
17809	Siedlung	undat.	NA	NA	4500592,024	5733324,319
