"","PlcIndex","Easting","Northing"
"4708",17390,4500720.049,5733419.676
"4710",17395,4500749.004,5733403.744
"4712",17396,4500749.64,5733406.366
"4714",17471,4500814.159,5733452.206
"4716",17474,4500814.324,5733453.022
"4718",17507,4500818.547,5733402.783
"4720",17555,4500819.612,5733403.509
"4722",17556,4500818.894,5733403.932
"4724",17570,4500774.29,5733439.178
"4726",17571,4500787.705,5733421.825
"4728",17573,4500778.759,5733445.601
"4730",17574,4500778.793,5733451.08
"4732",17578,4500772.667,5733436.549
"4734",17602,4500754.242,5733422.696
"4736",17607,4500754.928,5733420.904
"4738",17608,4500756.237,5733422.008
"4740",17690,4500811.903,5733446.901
"4742",17691,4500801.02,5733435.348
"4744",17726,4500771.542,5733438.974
"4746",17737,4500763.707,5733442.773
"4748",17772,4500766.692,5733437.888
"4750",17777,4500768.116,5733443.812
"4752",17778,4500769.653,5733441.902
"4754",17779,4500769.479,5733443.269
"4756",17780,4500768.506,5733443.879
"4758",17782,4500766.309,5733443.418
"4760",17894,4500863.28,5733435.824
"4762",17882,4500776.291,5733433.518
"4764",17885,4500771.529,5733438.938
"4766",17888,4500857.852,5733441.558
"4768",17890,4500860.099,5733436.567
"4770",17893,4500870.305,5733433.145
"4772",17994,4500764.259,5733443.003
"4774",18000,4500867.541,5733433.59
"4776",18003,4500870.27,5733438.652
"4778",18004,4500870.866,5733440.221
"4780",18005,4500868.725,5733434.968
"4782",18006,4500869.413,5733436.75
"4784",18016,4500771.496,5733439.973
"4786",18098,4500763.05,5733444.77
"4788",18101,4500766.242,5733438.848
"4790",18160,4500720.708,5733416.835
"4792",18368,4500806.4,5733394.873
"4794",18369,4500807.468,5733392.571
"4796",18397,4500821.801,5733402.642
"4798",18398,4500821.114,5733400.758
"4805",9190,4492885.824,5737744.955
"4815",5898,4500435.185,5733170.304
"4817",7056,4500433.926,5733171.629
"4819",7867,4500390.92,5733162.19
"4821",7870,4500369.746,5733175.069
"4823",7884,4500406.211,5733143.03
"4825",7901,4500435.306,5733185.453
"4827",7934,4500370.347,5733174.518
"4829",8080,4500235.096,5733195.445
"4831",8087,4500372.203,5733174.815
"4833",8086,4500386.13,5733157.148
"4835",8088,4500373.912,5733174.232
"4837",8090,4500372.547,5733174.348
"4839",8091,4500373.426,5733172.396
"4841",8092,4500375.752,5733174.063
"4843",8094,4500402.863,5733183.857
"4845",8095,4500411.968,5733146.308
"4847",8096,4500407.181,5733142.015
"4849",8097,4500407.993,5733139.736
"4851",8098,4500503.848,5733123.215
"4853",8290,4500435.526,5733171.243
"4855",8306,4500487.691,5733127.511
"4857",5765,4491500.732,5738340.433
"4859",5868,4492210.559,5738078.491
"4861",5951,4491506.596,5738336.34
"4863",6000,4491496.281,5738340.099
"4865",6001,4491496.465,5738340.216
"4867",6008,4491501.634,5738335.219
"4869",6077,4491504.829,5738333.721
"4871",6119,4491497.858,5738345.339
"4873",6287,4492224.209,5738083.539
"4875",6295,4492252.497,5738071.463
"4877",6652,4491499.307,5738333.547
"4879",6677,4491454.037,5738369.187
"4881",6691,4491479.388,5738325.595
"4883",6899,4494607.118,5735787.523
"4885",7133,4492216.182,5738073.858
"4887",7148,4492222.561,5738082.952
"4889",7149,4492227.849,5738085.882
"4891",7352,4492296.305,5738036.508
"4893",7358,4492317.303,5738034.797
"4897",7876,4491433.998,5738361.378
"4899",7907,4494614.617,5735771.528
"4901",8031,4492219.794,5738086.451
"4903",8032,4492225.474,5738072.708
"4905",8033,4492278.523,5738067.379
"4907",8036,4492312.852,5738069.694
"4909",8037,4492205.552,5738074.591
"4911",8153,4494624.256,5735763.41
"4913",8176,4494629.193,5735768.78
"4915",8333,4491495.419,5738324.125
"4917",8335,4491483.263,5738324.956
"4919",8725,4491460.869,5738369.485
"4921",8726,4491459.675,5738365.515
"4923",8729,4491455.149,5738337.852
"4925",9100,4492158.724,5738105.276
"4927",9105,4492151.63,5738117.627
"4929",9107,4492245.342,5738073.508
"4931",9129,4492190.605,5738089.899
"4933",9114,4492145.783,5738105.52
"4935",9116,4492256.433,5738074.699
"4937",9121,4492155.586,5738105.267
"4939",9122,4492155.643,5738103.277
"4941",9125,4492160.835,5738103.346
"4943",9126,4492160.165,5738105.063
"4945",9128,4492188.873,5738089.114
"4947",9130,4492177.593,5738089.466
"4949",9136,4492217.444,5738085.105
"4951",9137,4492214.462,5738089.014
"4953",9139,4492227.29,5738073.032
"4955",9141,4492237.795,5738082.412
"4957",9142,4492238.749,5738083.535
"4959",9143,4492238.481,5738085.162
"4961",9144,4492264.257,5738068.134
"4963",9145,4492266.659,5738068.26
"4965",9146,4492268.02,5738070.507
"4967",9147,4492269.713,5738064.081
"4969",9148,4492270.679,5738067.761
"4971",9151,4492272.25,5738070.849
"4973",9152,4492272.371,5738065.332
"4975",9153,4492250.926,5738070.997
"4977",9154,4492274.981,5738066.195
"4979",9155,4492274.715,5738067.97
"4981",9156,4492276.384,5738072.186
"4983",9157,4492278.876,5738071.017
"4985",9158,4492277.356,5738069.328
"4987",9159,4492280.926,5738066.419
"4989",9162,4492286.693,5738055.757
"4991",9165,4492310.038,5738069.157
"4993",9166,4492309.968,5738070.806
"4995",9167,4492311.976,5738067.872
"4997",9171,4492179.448,5738076.773
"4999",9172,4492202.419,5738074.898
"5001",9173,4492202.18,5738073.227
"5003",9174,4492203.225,5738073.046
"5005",9175,4492205.236,5738072.944
"5007",9176,4492273.92,5738051.682
"5009",9182,4492202.266,5738072.498
"5011",7632,4500222.495,5733193.303
"5013",7809,4500220.77,5733193.999
"5015",7831,4500225.014,5733201.349
"5019",7417,4493111.448,5737541.172
"5021",7418,4493110.127,5737540.093
"5023",7547,4493119.068,5737528.932
"5027",7718,4493112.44,5737540.008
"5029",8571,4493121.567,5737531.609
"5031",8593,4493112.223,5737538.754
"5033",8589,4493122.376,5737557.504
"5037",5875,4494638.344,5735759.017
"5039",6021,4491513.039,5738333.327
"5041",6668,4494587.87,5735843.157
"5043",6674,4491526.469,5738327.557
"5045",6704,4491512.121,5738322.234
"5053",7869,4491518.723,5738317.856
"5055",7949,4491532.818,5738322.692
"5057",7950,4494638.395,5735756.86
"5059",8048,4492604.206,5737916.284
"5061",8052,4492618.856,5737919.535
"5063",8124,4491538.333,5738331.708
"5065",8126,4491533.645,5738331.782
"5067",8128,4491531.241,5738325.036
"5069",8355,4492735.32,5737953.906
"5071",8367,4492717.285,5737901.747
"5073",8719,4491513.725,5738325.929
"5075",8715,4491521.99,5738322.749
"5077",8716,4491521.473,5738321.403
"5079",8718,4491514.714,5738325.215
"5081",8724,4491524.805,5738325.641
"5083",8808,4494589.004,5735842.107
"5085",9177,4492443.248,5737982.396
"5087",9181,4492436.395,5737982.515
"5089",9212,4492667.107,5737940.574
"5091",9213,4492632.484,5737928.965
"5093",9215,4492627.93,5737919.64
"5095",9217,4492607.038,5737918.207
"5097",9220,4492643.201,5737920.859
"5099",6111,4491779.166,5738333.241
"5101",6113,4491778.427,5738331.039
"5103",6165,4491778.78,5738349.812
"5105",6184,4491762.274,5738352.634
"5107",6185,4491762.338,5738350.94
"5109",6189,4491767.214,5738349.215
"5111",6190,4491765.942,5738349.156
"5113",6191,4491773.97,5738349.961
"5115",6192,4491762.815,5738351.045
"5117",6193,4491777.226,5738337.991
"5119",6194,4491778.759,5738344.753
"5121",6195,4491778.898,5738348.488
"5123",6196,4491778.582,5738348.478
"5125",6197,4491780.805,5738342.154
"5127",6604,4492110.511,5738132.542
"5129",9327,4492110.511,5738132.542
"5131",6829,4491775.936,5738328.698
"5133",6840,4491779.908,5738361.158
"5135",6841,4491780.524,5738354.397
"5137",6844,4491770.71,5738350.257
"5139",6846,4491769.777,5738349.769
"5141",6848,4491768.567,5738349.325
"5145",7143,4491759.677,5738352.632
"5147",7154,4491773.741,5738322.539
"5149",7276,4491778.097,5738330.209
"5151",7325,4491779.237,5738352.213
"5155",7601,4491764.276,5738350.866
"5157",7913,4491751.463,5738279.595
"5159",7954,4491752.33,5738269.228
"5161",8025,4492105.669,5738130.047
"5163",8027,4492114.947,5738125.198
"5165",8157,4491772.194,5738327.55
"5167",8158,4491749.519,5738316.091
"5169",8160,4491774.702,5738325.625
"5171",8165,4491752.483,5738271.522
"5173",8166,4491751.498,5738331.35
"5175",8172,4492130.962,5738112.648
"5177",8182,4492131.577,5738111.076
"5179",8183,4492130.248,5738114.305
"5181",8246,4491774.11,5738322.623
"5183",9096,4492105.258,5738124.893
"5185",9098,4492106.088,5738127.027
"5187",9099,4492123.35,5738114.745
"5189",8423,4494734.718,5735614.842
"5191",8850,4491032.476,5738740.05
"5193",8851,4491031.234,5738737.522
