"ID1" "ID2" "d12"
4045 1826 5.71
4045 2145 5.37
4326 4407 0.08
4326 4524 0.07
4326 4537 0.24
4326 4538 0.24
4326 4725 0.12
4326 4729 0.12
4326 4739 0
4326 4786 0.06
4326 4789 0.24
4326 4888 0.05
4326 4952 0.05
4326 4961 0.05
4326 5001 0.05
4326 5003 0.05
4326 5004 0.05
4326 5005 0.05
4326 5006 0.05
4326 5007 0.05
4326 1149 6.13
4326 1178 6.08
4326 1575 6.08
4326 1180 6.08
4326 1573 6.08
4326 13 4.11
4326 229 4.28
4326 74 0.73
4326 142 4.01
4326 194 4.27
4326 227 4.28
4326 228 4.29
4326 1826 5.73
4326 2145 5.39
4407 4524 0.07
4407 4537 0.29
4407 4538 0.29
4407 4725 0.04
4407 4729 0.04
4407 4739 0.08
4407 4786 0.14
4407 4789 0.29
4407 4888 0.13
4407 4952 0.04
4407 4961 0.04
4407 5001 0.13
4407 5003 0.13
4407 5004 0.13
4407 5005 0.13
4407 5006 0.13
4407 5007 0.13
4407 1149 6.05
4407 1178 6
4407 1575 6
4407 1180 6
4407 1573 6
4407 13 4.03
4407 229 4.21
4407 74 0.67
4407 142 3.93
4407 194 4.19
4407 227 4.21
4407 228 4.21
4407 1826 5.65
4407 2145 5.31
4524 4537 0.21
4524 4538 0.21
4524 4725 0.09
4524 4729 0.09
4524 4739 0.07
4524 4786 0.12
4524 4789 0.21
4524 4888 0.11
4524 4952 0.04
4524 4961 0.04
4524 5001 0.11
4524 5003 0.11
4524 5004 0.11
4524 5005 0.11
4524 5006 0.11
4524 5007 0.11
4524 1149 6.1
4524 1178 6.06
4524 1575 6.06
4524 1180 6.06
4524 1573 6.06
4524 13 4.1
4524 229 4.27
4524 74 0.74
4524 142 4
4524 194 4.26
4524 227 4.27
4524 228 4.28
4524 1826 5.71
4524 2145 5.37
4537 4538 0
4537 4725 0.3
4537 4729 0.3
4537 4739 0.24
4537 4786 0.23
4537 4789 0
4537 4888 0.23
4537 4952 0.25
4537 4961 0.25
4537 5001 0.23
4537 5003 0.22
4537 5004 0.22
4537 5005 0.22
4537 5006 0.22
4537 5007 0.22
4537 1149 6.29
4537 1178 6.24
4537 1575 6.24
4537 1180 6.24
4537 1573 6.24
4537 13 4.3
4537 229 4.48
4537 74 0.96
4537 142 4.2
4537 194 4.46
4537 227 4.48
4537 228 4.48
4537 1826 5.89
4537 2145 5.56
4538 4725 0.3
4538 4729 0.3
4538 4739 0.24
4538 4786 0.23
4538 4789 0
4538 4888 0.23
4538 4952 0.25
4538 4961 0.25
4538 5001 0.23
4538 5003 0.22
4538 5004 0.22
4538 5005 0.22
4538 5006 0.22
4538 5007 0.22
4538 1149 6.29
4538 1178 6.24
4538 1575 6.24
4538 1180 6.24
4538 1573 6.24
4538 13 4.3
4538 229 4.48
4538 74 0.96
4538 142 4.2
4538 194 4.46
4538 227 4.48
4538 228 4.48
4538 1826 5.89
4538 2145 5.56
4725 4729 0
4725 4739 0.12
4725 4786 0.17
4725 4789 0.3
4725 4888 0.17
4725 4952 0.07
4725 4961 0.07
4725 5001 0.17
4725 5003 0.17
4725 5004 0.16
4725 5005 0.17
4725 5006 0.17
4725 5007 0.17
4725 1149 6.02
4725 1178 5.97
4725 1575 5.97
4725 1180 5.98
4725 1573 5.97
4725 13 4.01
4725 229 4.19
4725 74 0.66
4725 142 3.91
4725 194 4.17
4725 227 4.19
4725 228 4.19
4725 1826 5.62
4725 2145 5.28
4729 4739 0.12
4729 4786 0.18
4729 4789 0.3
4729 4888 0.17
4729 4952 0.07
4729 4961 0.07
4729 5001 0.17
4729 5003 0.17
4729 5004 0.17
4729 5005 0.17
4729 5006 0.17
4729 5007 0.17
4729 1149 6.02
4729 1178 5.97
4729 1575 5.97
4729 1180 5.97
4729 1573 5.97
4729 13 4.01
4729 229 4.19
4729 74 0.66
4729 142 3.91
4729 194 4.17
4729 227 4.19
4729 228 4.19
4729 1826 5.62
4729 2145 5.28
4739 4786 0.06
4739 4789 0.24
4739 4888 0.05
4739 4952 0.05
4739 4961 0.05
4739 5001 0.05
4739 5003 0.05
4739 5004 0.05
4739 5005 0.05
4739 5006 0.05
4739 5007 0.05
4739 1149 6.13
