"PlcIndex"	"Easting"	"Northing"
6454	4491747.542	5738287.625
6489	4491763.637	5738312.581
6491	4491764.918	5738309.86
6495	4491760.997	5738309.375
6558	4491769.706	5738357.615
6567	4491747.221	5738288.593
6569	4491746.55	5738289.139
6570	4491745.963	5738289.966
6571	4491764.486	5738337.999
6572	4491761.727	5738336.319
6574	4491760.874	5738341.363
6741	4492145.654	5738107.329
6770	4492218.505	5738087.84
6795	4492270.851	5738071.194
6877	4492654.948	5737939.901
6895	4492638.622	5737920.835
